Итерация	Выходные_значения (разделены пробелами)
309	4624.890873532069 4624.890873532069
310	4648.031758580776 4648.031758580776
311	4606.671494102318 4606.671494102318
312	4606.43659161486 4606.43659161486
313	4595.754530931823 4595.754530931823
314	4545.967648888474 4545.967648888474
315	4491.536785749726 4491.536785749726
316	4216.424478883974 4216.424478883974
317	4115.51380549892 4115.51380549892
318	4127.90452319216 4127.90452319216
319	4296.234342447983 4296.234342447983
320	4105.4511271021565 4105.4511271021565
321	4191.837047401621 4191.837047401621
322	4094.2589631212613 4094.2589631212613
323	4111.869853515879 4111.869853515879
324	4036.0695600108165 4036.0695600108165
325	3979.5018694901414 3979.5018694901414
326	3957.6289549916605 3957.6289549916605
327	3790.1670401719016 3790.1670401719016
328	3526.378174687467 3526.378174687467
329	3708.004519911211 3708.004519911211
330	3391.5731552665766 3391.5731552665766
331	3401.374413406328 3401.374413406328
332	3454.5798536082866 3454.5798536082866
333	3357.5914384682 3357.5914384682
334	3566.7163767060592 3566.7163767060592
335	3268.84168382971 3268.84168382971
336	3372.0454431654 3372.0454431654
337	3190.1435596051992 3190.1435596051992
338	3320.50527510099 3320.50527510099
339	3260.896476436464 3260.896476436464
340	3279.7053235556427 3279.7053235556427
341	3205.0582526056405 3205.0582526056405
342	3192.3873700472036 3192.3873700472036
343	3147.905338824551 3147.905338824551
344	3258.8379173339135 3258.8379173339135
345	3069.7855378541008 3069.7855378541008
346	3015.8231581917717 3015.8231581917717
347	3008.7344385135984 3008.7344385135984
348	3192.6937581694447 3192.6937581694447
349	3043.1763788951444 3043.1763788951444
350	2971.6684337245506 2971.6684337245506
351	2988.4320879619445 2988.4320879619445
352	2990.397242853558 2990.397242853558
353	2976.6529424759137 2976.6529424759137
354	3001.209341188787 3001.209341188787
355	2964.4498003677745 2964.4498003677745
356	2943.3667169799924 2943.3667169799924
357	2892.4705198139986 2892.4705198139986
358	2848.7462552125203 2848.7462552125203
359	2847.4838778690887 2847.4838778690887
360	2707.605313006856 2707.605313006856
361	2829.2878999692794 2829.2878999692794
362	2689.07232240655 2689.07232240655
363	2630.72611125605 2630.72611125605
364	2684.4244227509953 2684.4244227509953
365	2639.1102809020913 2639.1102809020913
366	2534.064859088019 2534.064859088019
367	2570.5982455383673 2570.5982455383673
368	2551.611371549169 2551.611371549169
369	2505.2260328721295 2505.2260328721295
370	2403.3861310394263 2403.3861310394263
371	2399.619756211622 2399.619756211622
372	2466.2510280343818 2466.2510280343818
373	2289.6195071540315 2289.6195071540315
374	2242.0370006561498 2242.0370006561498
375	2174.0310717283896 2174.0310717283896
376	2232.9099971537275 2232.9099971537275
377	1994.5185585913132 1994.5185585913132
378	2035.438581570163 2035.438581570163
379	1914.5061236047945 1914.5061236047945
380	1935.6981634172685 1935.6981634172685
381	2031.8522259842475 2031.8522259842475
382	2026.5015283820933 2026.5015283820933
383	1958.0257507509832 1958.0257507509832
384	1936.8186337896743 1936.8186337896743
385	1904.498608476943 1904.498608476943
386	1966.9169929316145 1966.9169929316145
387	1866.1876405986468 1866.1876405986468
388	1891.1709842090067 1891.1709842090067
389	1915.1446064745223 1915.1446064745223
390	1862.8917724482626 1862.8917724482626
391	1721.1960998164604 1721.1960998164604
392	1712.788115625055 1712.788115625055
393	1704.5134083505159 1704.5134083505159
394	1678.4935733221828 1678.4935733221828
395	1671.3395305558042 1671.3395305558042
396	1708.9072354840473 1708.9072354840473
397	1620.4419092896346 1620.4419092896346
398	1709.376974659737 1709.376974659737
399	1712.2420508789664 1712.2420508789664
400	1692.1593964456306 1692.1593964456306
401	1595.8359348778188 1595.8359348778188
402	1576.9745209681391 1576.9745209681391
403	1528.0861393174112 1528.0861393174112
404	1682.2149248635624 1682.2149248635624
405	1534.9645208795694 1534.9645208795694
406	1582.815283882007 1582.815283882007
407	1563.1852948953442 1563.1852948953442
408	1565.893615538344 1565.893615538344
409	1498.3034284688483 1498.3034284688483
410	1435.0496504876626 1435.0496504876626
411	1495.1842960217286 1495.1842960217286
412	1440.72463575831 1440.72463575831
413	1457.604484025111 1457.604484025111
414	1456.4851480241632 1456.4851480241632
415	1393.152802605604 1393.152802605604
416	1406.4999242185693 1406.4999242185693
417	1380.8938982677175 1380.8938982677175
418	1377.6231458634709 1377.6231458634709
419	1411.7888525869803 1411.7888525869803
420	1385.8093932806028 1385.8093932806028
421	1356.243841202373 1356.243841202373
422	1323.9741080380675 1323.9741080380675
423	1357.1993935185353 1357.1993935185353
424	1348.923361200404 1348.923361200404
425	1322.2286453874335 1322.2286453874335
426	1309.8913195012221 1309.8913195012221
427	1298.5115863406825 1298.5115863406825
428	1269.182659746512 1269.182659746512
429	1302.2569674288436 1302.2569674288436
430	1271.0232657743725 1271.0232657743725
431	1269.9697586518103 1269.9697586518103
432	1262.181374063104 1262.181374063104
433	1274.931006624492 1274.931006624492
434	1243.9934843578358 1243.9934843578358
435	1257.753489530622 1257.753489530622
436	1268.4496556879628 1268.4496556879628
437	1261.5041494447264 1261.5041494447264
438	1273.679223911332 1273.679223911332
439	1249.4661956561526 1249.4661956561526
440	1248.755410074502 1248.755410074502
441	1202.3021489170774 1202.3021489170774
442	1189.9531283366882 1189.9531283366882
443	1199.5284544742117 1199.5284544742117
444	1183.8825700066263 1183.8825700066263
445	1187.8835803715283 1187.8835803715283
446	1190.942706100243 1190.942706100243
447	1172.4955547296747 1172.4955547296747
448	1167.4656143231539 1167.4656143231539
449	1157.6523396292505 1157.6523396292505
450	1143.831198786136 1143.831198786136
451	1182.1649316226544 1182.1649316226544
452	1127.9181499764334 1127.9181499764334
453	1127.1870381405631 1127.1870381405631
454	1083.56193296962 1083.56193296962
455	1141.9181882262358 1141.9181882262358
456	1041.8574645220044 1041.8574645220044
457	1078.7986533956432 1078.7986533956432
458	1034.7930847965517 1034.7930847965517
459	1025.9691423581787 1025.9691423581787
460	1043.6767573712477 1043.6767573712477
461	1040.0760902771628 1040.0760902771628
462	1003.633550605193 1003.633550605193
463	965.3752509903736 965.3752509903736
464	939.5688842907344 939.5688842907344
465	949.5275130801376 949.5275130801376
466	920.3844495478986 920.3844495478986
467	933.2060268485866 933.2060268485866
468	924.5525421342613 924.5525421342613
469	907.2468421770582 907.2468421770582
470	906.0833874123 906.0833874123
471	954.2780058280437 954.2780058280437
472	959.1212013189866 959.1212013189866
473	890.286754107909 890.286754107909
474	916.8402361770675 916.8402361770675
475	858.0038379662876 858.0038379662876
476	883.7888562432815 883.7888562432815
477	869.3508678347578 869.3508678347578
478	866.2490177951468 866.2490177951468
479	861.821129764068 861.821129764068
480	855.3222158316776 855.3222158316776
481	817.553148909306 817.553148909306
482	777.2352889065519 777.2352889065519
483	795.7240355969152 795.7240355969152
484	790.8084183239098 790.8084183239098
485	755.5412288062288 755.5412288062288
486	787.3069311475546 787.3069311475546
487	735.909866291498 735.909866291498
488	740.1458986042996 740.1458986042996
489	759.5803434952664 759.5803434952664
490	735.8015933840564 735.8015933840564
491	756.8575752097743 756.8575752097743
492	741.3129003085778 741.3129003085778
493	748.482599534321 748.482599534321
494	735.1415173144195 735.1415173144195
495	741.952751088349 741.952751088349
496	736.2377429454015 736.2377429454015
497	735.5031410707637 735.5031410707637
498	725.3775821193644 725.3775821193644
499	727.33255524049 727.33255524049
500	730.6878722056537 730.6878722056537
501	718.9193760660021 718.9193760660021
502	715.821094150265 715.821094150265
503	719.1547166765816 719.1547166765816
504	713.7060433773268 713.7060433773268
505	683.1913981672963 683.1913981672963
506	683.67887306637 683.67887306637
507	681.4264189064777 681.4264189064777
508	688.5714240813329 688.5714240813329
509	670.7185458789247 670.7185458789247
510	673.9362412560994 673.9362412560994
511	671.4285024185508 671.4285024185508
512	671.7128233178014 671.7128233178014
513	671.5479315072279 671.5479315072279
514	674.3430190383068 674.3430190383068
515	669.2741531145265 669.2741531145265
516	672.0173796919078 672.0173796919078
517	666.6724048338924 666.6724048338924
518	665.0008772555104 665.0008772555104
519	673.1454897835505 673.1454897835505
520	656.7471729551961 656.7471729551961
521	670.848922714275 670.848922714275
522	647.5047506555593 647.5047506555593
523	655.4284882464057 655.4284882464057
524	651.2570979341185 651.2570979341185
525	652.8372967176408 652.8372967176408
526	643.5075323741289 643.5075323741289
527	648.0130337910322 648.0130337910322
528	646.6155354602099 646.6155354602099
529	643.2926378504679 643.2926378504679
530	643.2664159524818 643.2664159524818
531	642.4104445370874 642.4104445370874
532	645.2269643535549 645.2269643535549
533	645.9976959783288 645.9976959783288
534	639.7465388756415 639.7465388756415
535	644.189634590615 644.189634590615
536	647.658047885224 647.658047885224
537	637.1475043919663 637.1475043919663
538	635.2246843843569 635.2246843843569
539	629.559775683977 629.559775683977
540	627.2063926019638 627.2063926019638
541	629.1944873009354 629.1944873009354
542	625.8152551206811 625.8152551206811
543	629.2443175996609 629.2443175996609
544	628.4330022676036 628.4330022676036
545	625.6822953652716 625.6822953652716
546	622.7279999255857 622.7279999255857
547	629.3560798598276 629.3560798598276
548	623.0931751855574 623.0931751855574
549	626.4818806026586 626.4818806026586
550	621.6843514591828 621.6843514591828
551	617.2449914156107 617.2449914156107
552	626.2031175134084 626.2031175134084
553	610.8521869473593 610.8521869473593
554	612.796935127693 612.796935127693
555	605.0329941061526 605.0329941061526
556	605.2443768189928 605.2443768189928
557	603.7285297560189 603.7285297560189
558	601.9992077942436 601.9992077942436
559	598.1676304124235 598.1676304124235
560	595.6498072444554 595.6498072444554
561	604.0502998927345 604.0502998927345
562	606.6797881570599 606.6797881570599
563	598.968952837338 598.968952837338
564	602.089388644326 602.089388644326
565	595.1812686420014 595.1812686420014
566	597.9033133652928 597.9033133652928
567	597.2114407152976 597.2114407152976
568	597.1438300287383 597.1438300287383
569	594.1014294353336 594.1014294353336
570	589.7536049296748 589.7536049296748
571	585.1219235304261 585.1219235304261
572	592.2249513749687 592.2249513749687
573	589.3957223276931 589.3957223276931
574	585.3387324631492 585.3387324631492
575	585.179990953963 585.179990953963
576	581.0063380778927 581.0063380778927
577	579.8827222532834 579.8827222532834
578	582.9009152864713 582.9009152864713
579	579.6705555847655 579.6705555847655
580	581.5262493942522 581.5262493942522
581	577.6990727722243 577.6990727722243
582	581.0078903488779 581.0078903488779
583	574.7271357619471 574.7271357619471
584	577.0228916870976 577.0228916870976
585	570.342669469132 570.342669469132
586	567.8052129619572 567.8052129619572
587	572.9168436146185 572.9168436146185
588	565.6607830067684 565.6607830067684
589	572.938404824052 572.938404824052
590	567.0746687606529 567.0746687606529
591	566.3922414954161 566.3922414954161
592	565.621180935538 565.621180935538
593	560.8298899770593 560.8298899770593
594	565.2058650943611 565.2058650943611
595	560.1218874698532 560.1218874698532
596	566.1199582281545 566.1199582281545
597	558.4144919331952 558.4144919331952
598	553.1312188696073 553.1312188696073
599	551.3773639801586 551.3773639801586
600	543.4352793497187 543.4352793497187
601	547.7958805243212 547.7958805243212
602	543.6554770117258 543.6554770117258
603	537.0873051685542 537.0873051685542
604	530.7790271684746 530.7790271684746
605	534.1609955637764 534.1609955637764
606	530.7357368312951 530.7357368312951
607	530.4354845155393 530.4354845155393
608	524.849427711059 524.849427711059
609	523.676001514915 523.676001514915
610	529.8196264400245 529.8196264400245
611	523.408978961207 523.408978961207
612	519.2888022114206 519.2888022114206
613	519.8013009451665 519.8013009451665
614	521.823588588784 521.823588588784
615	510.6285768138167 510.6285768138167
616	505.36846155845524 505.36846155845524
617	514.9595073835324 514.9595073835324
618	502.49419529040216 502.49419529040216
619	505.3184706457829 505.3184706457829
620	503.9392602914245 503.9392602914245
621	503.98510014808824 503.98510014808824
622	504.59963489761583 504.59963489761583
623	496.66431635815036 496.66431635815036
624	498.07360384073536 498.07360384073536
625	496.1836438418396 496.1836438418396
626	495.9241478612286 495.9241478612286
627	489.5496877186146 489.5496877186146
628	490.9810429823064 490.9810429823064
629	495.3822158795632 495.3822158795632
630	493.7539299786823 493.7539299786823
631	488.3117384905538 488.3117384905538
632	483.47736183660606 483.47736183660606
633	483.2794066726447 483.2794066726447
634	482.40655396207353 482.40655396207353
635	486.0077275892088 486.0077275892088
636	485.9408356888604 485.9408356888604
637	481.2021920635513 481.2021920635513
638	481.4511893300614 481.4511893300614
639	477.4300707492096 477.4300707492096
640	481.5642184034721 481.5642184034721
641	478.425961606344 478.425961606344
642	475.9022268170286 475.9022268170286
643	471.9365942491585 471.9365942491585
644	469.4400709847144 469.4400709847144
645	477.34867445262614 477.34867445262614
646	471.70601026726575 471.70601026726575
647	462.67054030719265 462.67054030719265
648	471.2850936212896 471.2850936212896
649	459.4265138001306 459.4265138001306
650	462.826393075664 462.826393075664
651	466.9794979873131 466.9794979873131
652	460.83505049261396 460.83505049261396
653	458.71284518150804 458.71284518150804
654	455.9218789595135 455.9218789595135
655	458.6399779431317 458.6399779431317
656	452.3652676965095 452.3652676965095
657	448.4308190192637 448.4308190192637
658	451.35939617644726 451.35939617644726
659	447.87569907945914 447.87569907945914
660	450.77493459224434 450.77493459224434
661	448.39665585819523 448.39665585819523
662	442.74729203267225 442.74729203267225
663	441.255232926544 441.255232926544
664	444.8687790169816 444.8687790169816
665	440.08914970974786 440.08914970974786
666	444.526377065917 444.526377065917
667	447.33877135254227 447.33877135254227
668	444.7899457456605 444.7899457456605
669	440.060151791729 440.060151791729
670	438.6058973783284 438.6058973783284
671	433.9697370350882 433.9697370350882
672	432.0946533336522 432.0946533336522
673	425.9697136047641 425.9697136047641
674	436.72008564172074 436.72008564172074
675	423.6410906571877 423.6410906571877
676	424.1281015234735 424.1281015234735
677	424.5259960181965 424.5259960181965
678	427.17701080208417 427.17701080208417
679	421.3720576048894 421.3720576048894
680	422.6326386684104 422.6326386684104
681	419.9947287223939 419.9947287223939
682	422.10026610903276 422.10026610903276
683	421.4003446124632 421.4003446124632
684	417.89980233015893 417.89980233015893
685	415.61302805012383 415.61302805012383
686	416.76063636255174 416.76063636255174
687	417.6798250132242 417.6798250132242
688	413.2239541760142 413.2239541760142
689	413.6808227115264 413.6808227115264
690	413.54014662492534 413.54014662492534
691	408.23477118757205 408.23477118757205
692	411.93530937755395 411.93530937755395
693	410.68836779341706 410.68836779341706
694	407.4641937903244 407.4641937903244
695	405.81293280237435 405.81293280237435
696	406.0142739603356 406.0142739603356
697	403.4237238865363 403.4237238865363
698	401.83746774617066 401.83746774617066
699	401.36417889968277 401.36417889968277
700	396.7389444119511 396.7389444119511
701	389.2055615903847 389.2055615903847
702	386.9198988590975 386.9198988590975
703	389.05932589738586 389.05932589738586
704	385.16010167296554 385.16010167296554
705	385.1446221866213 385.1446221866213
706	392.4834787074072 392.4834787074072
707	386.25727674235816 386.25727674235816
708	384.2113875516577 384.2113875516577
709	388.51739074990434 388.51739074990434
710	384.2450030892933 384.2450030892933
711	380.41979877227493 380.41979877227493
712	381.5753818364931 381.5753818364931
713	377.9224399684348 377.9224399684348
714	378.6947959458788 378.6947959458788
715	372.7566958325756 372.7566958325756
716	373.4371062061357 373.4371062061357
717	377.2184637068264 377.2184637068264
718	373.3209927685462 373.3209927685462
719	371.8227155345225 371.8227155345225
720	376.51150513512977 376.51150513512977
721	370.8520564671553 370.8520564671553
722	371.5792026041146 371.5792026041146
723	369.2541637031957 369.2541637031957
724	367.56655874304533 367.56655874304533
725	365.29204833877964 365.29204833877964
726	361.86945817114514 361.86945817114514
727	363.26912148655015 363.26912148655015
728	363.13878184362613 363.13878184362613
729	362.02787365710185 362.02787365710185
730	364.9829272163393 364.9829272163393
731	361.3408925335892 361.3408925335892
732	359.6900050526047 359.6900050526047
733	356.9112348396021 356.9112348396021
734	351.91368034842174 351.91368034842174
735	348.25046146689704 348.25046146689704
736	352.4198631266255 352.4198631266255
737	354.25574383266166 354.25574383266166
738	347.3967524706935 347.3967524706935
739	345.73754806125476 345.73754806125476
740	348.74162214188493 348.74162214188493
741	345.6064023971884 345.6064023971884
742	351.8831423379247 351.8831423379247
743	347.61236256525973 347.61236256525973
744	344.59603425054127 344.59603425054127
745	347.9048559721589 347.9048559721589
746	345.3229807084725 345.3229807084725
747	342.5595882002126 342.5595882002126
748	340.901592131576 340.901592131576
749	340.63830354102123 340.63830354102123
750	344.4151677278827 344.4151677278827
751	341.1122441631061 341.1122441631061
752	341.34776323606394 341.34776323606394
753	340.26053240252065 340.26053240252065
754	341.8791997728086 341.8791997728086
755	342.44098740837865 342.44098740837865
756	339.4371355142224 339.4371355142224
757	338.3679129202727 338.3679129202727
758	337.34668241382167 337.34668241382167
759	341.00180732224135 341.00180732224135
760	334.555549187882 334.555549187882
761	335.9802751215765 335.9802751215765
762	331.8127085077218 331.8127085077218
