iter_limit,population_size,init_mutation,min_mutation,elite_size,base_penalty,penalty_exponent,feasibility_phase,adaptive_penalty,avg_cv0,valid_rate
100,500,0.2,0.001,10,100000.0,2,0.3,False,-185500.0,1.0
150,500,0.05,0.01,20,10000000.0,1,0.3,True,-185500.0,1.0
100,500,0.2,0.005,30,100000.0,2,0.3,True,-185500.0,1.0
250,300,0.2,0.01,20,1000000.0,3,0.5,True,-185500.0,1.0
200,400,0.01,0.001,10,1000000.0,2,0.2,True,-185500.0,1.0
250,100,0.3,0.005,30,1000000.0,3,0.4,False,-185500.0,1.0
100,200,0.1,0.01,10,100000.0,2,0.4,True,-185500.0,1.0
150,300,0.01,0.005,10,1000000.0,1,0.4,True,-185500.0,1.0
100,200,0.05,0.02,10,1000000.0,1,0.3,False,-185500.0,1.0
150,200,0.05,0.001,20,10000000.0,3,0.3,False,-177031.7018565061,1.0
250,500,0.1,0.01,30,1000000.0,1,0.2,False,-185500.0,1.0
150,200,0.3,0.02,10,1000000.0,3,0.4,True,-185500.0,1.0
200,500,0.1,0.005,40,10000000.0,2,0.5,False,-185500.0,1.0
200,400,0.01,0.02,30,100000.0,2,0.4,True,-185500.0,1.0
200,200,0.1,0.005,20,10000000.0,3,0.5,False,-185500.0,1.0
100,500,0.3,0.02,30,1000000.0,2,0.4,False,-185500.0,1.0
100,200,0.05,0.005,40,1000000.0,3,0.5,True,-173948.69271560482,1.0
250,400,0.01,0.02,40,100000.0,2,0.2,False,-185500.0,1.0
250,300,0.1,0.005,10,10000000.0,2,0.4,True,-185500.0,1.0
50,500,0.01,0.01,30,10000000.0,3,0.5,False,-183368.69820866289,1.0
