��������	��������� (��������� ���������)
289	10.51399896385716 28.7177561490018 27.752026888285837 0.0 0.0 1.0
290	10.329599752643706 28.96383589166539 27.512374142378842 0.0 0.0 1.0
291	10.430338220506671 28.978445740234076 27.42729346835685 0.0 0.0 1.0
292	10.359071607392211 28.89579428007185 27.426527737138972 0.0 0.0 1.0
293	10.496550129222081 29.061254828707476 27.51664863485992 0.0 0.0 1.0
294	10.75331100928264 29.016616896271568 28.00466579121562 0.0 0.0 1.0
295	11.295705215769962 29.630015175982756 28.41092714311787 0.0 0.0 1.0
296	11.206025739645769 28.84107084112796 28.249795708036856 0.0 0.0 1.0
297	11.687382649236886 29.235763932091892 29.048532495456193 0.0 0.0 1.0
298	11.430019849137803 29.38031975353587 29.50461599570914 0.0 0.0 1.0
299	11.868114376305508 29.857360520667708 29.617837387205523 0.0 0.0 1.0
300	10.920645046106298 30.22945847850135 30.3949680163567 0.0 0.0 1.0
301	10.686121576246869 30.030759214773504 29.719727437871406 0.0 0.0 1.0
302	11.208964381596473 30.209900698792108 30.51313665198017 0.0 0.0 1.0
303	11.09673003224092 30.78587815064872 30.5468760423086 0.0 0.0 0.0
304	11.212959623125203 30.249409977239036 30.29835548549721 1.0 0.0 0.0
305	10.861685371145928 30.350782987625777 30.145186635777222 1.0 0.0 0.0
306	10.48330451532097 30.841278848244446 30.34776404460629 0.0 0.0 0.0
307	10.678389901099491 30.071627848925587 30.91553450225849 0.0 0.0 0.0
308	11.173520580972834 31.434048331860662 29.821519779952734 1.0 0.0 0.0
309	12.15509162844452 31.684608813286122 30.04103612725672 1.0 0.0 0.0
310	11.948451872272939 31.45461495882392 29.99826585656434 1.0 0.0 0.0
311	11.547559560824844 31.54912666222232 30.246840029554964 0.0 0.0 1.0
312	10.696610490652652 31.752208592156443 29.80307322079138 0.0 0.0 0.0
313	9.962605263735032 31.331861698832217 30.292765067588636 0.0 0.0 0.0
314	10.778950244947477 31.734697112389274 30.56718818301581 0.0 0.0 0.0
315	11.038408800511448 31.300865923705178 31.85565541558511 0.0 0.0 0.0
316	12.628167495141614 33.411909462490755 33.01211347921417 0.0 0.0 0.0
317	12.916458650009917 33.88472707533839 33.790430015136224 0.0 0.0 0.0
318	13.415545405857207 33.78121338064565 33.923337515651205 0.0 0.0 0.0
319	11.893085442096863 32.99614024962183 32.32404604092153 0.0 0.0 0.0
320	11.94660853878189 34.30622148547579 33.08790335191078 0.0 0.0 0.0
321	11.323004462534751 34.39869476107491 31.726148124830544 1.0 0.0 0.0
322	10.761067019013462 33.972685280858784 33.33155917594316 0.0 1.0 0.0
323	10.168660157325023 33.69872564270316 33.31424910296672 0.0 1.0 0.0
324	11.241273514655957 33.96231572039878 34.232076721856004 0.0 1.0 0.0
325	11.448775074971206 34.48053420303606 34.341701099145226 0.0 1.0 1.0
326	11.263151490697421 34.08250421810708 35.11449754530435 0.0 1.0 1.0
327	10.067239736087394 35.204758720393876 35.57230954060851 0.0 1.0 1.0
328	9.63130118366108 36.43506878033972 37.511507243235684 0.0 1.0 1.0
329	9.475328968164456 35.521654780559366 36.138832094069485 0.0 1.0 1.0
330	11.33645275057829 37.932496863014215 37.90431032336428 0.0 1.0 1.0
331	12.377138375669102 38.16556934818546 37.77807570268427 0.0 1.0 1.0
332	11.481214056226728 37.381576579222155 37.773597862513896 0.0 1.0 1.0
333	12.080788906752673 38.3134046325072 38.12460244662549 0.0 1.0 1.0
334	12.027435037109418 36.17898934547481 37.966736959436595 0.0 1.0 1.0
335	11.813999691934587 37.97017650518899 39.85728008507848 0.0 1.0 1.0
336	11.868232503229251 37.104109555513176 39.53921712527807 1.0 1.0 1.0
337	11.862702098963625 39.02783554474729 39.60170240700794 0.0 1.0 1.0
338	12.181630509750793 38.13290126042899 38.95933312629959 0.0 1.0 1.0
339	11.76582548433384 38.841660376017366 38.747664134945765 0.0 1.0 1.0
340	10.368646313398077 38.36374286650537 38.69435746520335 0.0 1.0 1.0
341	12.370111141942726 38.51569780256473 40.267412982268596 0.0 1.0 1.0
342	11.668212350869668 39.20421362111306 39.259900153159535 0.0 1.0 1.0
343	13.06487662371815 39.437197584505704 40.1173913903422 0.0 1.0 1.0
344	13.262687081143904 38.9866517311299 39.10223563052849 0.0 1.0 1.0
345	12.73455282358636 40.17933487549115 40.20636673907469 1.0 1.0 1.0
346	12.371159560135636 40.07345505163243 41.0972729787685 1.0 0.0 1.0
347	11.763279522617603 40.55584279869555 40.32206671040635 1.0 0.0 1.0
348	12.396770241066116 38.89619758605962 39.961673045459754 1.0 0.0 1.0
349	11.635896199503282 39.679715186330725 40.95541198592301 1.0 0.0 1.0
350	11.407501557976818 41.55168014554046 39.450153816357954 1.0 0.0 1.0
351	11.366229072534335 40.63573179289396 40.40073378004071 1.0 0.0 1.0
352	11.136339079514078 41.45349714244297 39.19074875114391 1.0 1.0 1.0
353	11.210910289747847 41.25860477429843 39.71124982767201 1.0 0.0 0.0
354	10.734645636089327 41.30112563484322 39.11760131199198 1.0 0.0 1.0
355	11.55325364295128 41.49457507099422 39.68332489998446 1.0 0.0 1.0
356	11.237114502192558 41.61529679412781 39.74933895562575 1.0 0.0 1.0
357	11.057119018874614 41.74414684085441 40.31770603875226 1.0 0.0 1.0
358	10.977656266119423 41.75343620839128 40.97709751733048 1.0 0.0 1.0
359	9.964907556468212 41.69525461723725 40.768240067638175 1.0 0.0 1.0
360	8.505493219458689 42.540926005121676 41.49724491088191 1.0 0.0 1.0
361	8.18497458020177 42.06352262963459 40.10962675013095 1.0 0.0 1.0
362	7.565159408419644 42.3894078193098 41.79189475122823 1.0 0.0 1.0
363	6.6256971459536285 42.77947244593695 42.03425704170196 1.0 0.0 1.0
364	6.45567943851261 41.937337667215424 42.261263945935234 1.0 1.0 1.0
365	6.884740979846845 43.46474865817756 41.02624492965884 1.0 0.0 1.0
366	6.799353239552985 43.54048805667163 42.649356831602915 1.0 0.0 1.0
