Итерация	Значение_функции
278	28919843662623.035
279	28864790968126.547
280	28455905619654.676
281	27148593288067.785
282	26695341105538.63
283	26558260457128.344
284	25514750882326.504
285	25863695609580.906
286	24973162914151.53
287	25968008999067.098
288	25307618193053.832
289	25055288399221.055
290	24961711134227.344
291	25040305033670.402
292	25118742057452.63
293	24882326143591.69
294	24550924267291.84
295	23649781182877.707
296	24618971035540.332
297	23611535628272.668
298	23029944583403.14
299	22532006077606.64
300	21359824535205.125
301	22044164496504.297
302	21342159982904.125
303	20739355079916.082
304	21487467418974.03
305	21439832989233.836
306	20726999526453.05
307	21085305543290.414
308	20690707988392.18
309	20474637421998.703
310	20684592881707.38
311	20310087960361.094
312	20307970758851.793
313	20211808806989.77
314	19766628339508.875
315	19285595345084.566
316	16944950494571.621
317	16124351126267.934
318	16224014852079.766
319	17608382661036.09
320	16043638735709.387
321	16743130426680.254
322	15954104668568.793
323	16095099725661.39
324	15492643585279.812
325	15050534759357.006
326	14881301158347.68
327	13617332788161.22
328	11740067399500.996
329	13017696619407.732
330	10834453839863.139
331	10899073020895.352
332	11253205997689.174
333	10611901983338.908
334	12018122440088.705
335	10041557620445.553
336	10706281385511.502
337	9548987222159.637
338	10371654230273.807
339	9991266538009.35
340	10110525947927.799
341	9641386755279.453
342	9562859649619.848
343	9289726957583.107
344	9978256991245.295
345	8819626143917.154
346	8502024692863.261
347	8460736036803.754
348	9564754685012.938
349	8662287200329.511
350	8246479596221.682
351	8343039929756.63
352	8354396224485.848
353	8275132154431.986
354	8417015644402.286
355	8205072661791.434
356	8084734290172.947
357	7797891606922.734
358	7555605978393.601
359	7548667661998.05
360	6799605471129.1875
361	7449012443748.008
362	6703295493340.719
363	6404574652823.8955
364	6679249599596.24
365	6447081021221.808
366	5924671740781.243
367	6103855693427.857
368	6010398319660.808
369	5785112271711.027
370	5305587671068.163
371	5288251025558.421
372	5599143930140.02
373	4794433588399.083
374	4588322514422.031
375	4301604888668.8438
376	4549305058191.224
377	3589200570841.426
378	3745922505065.7627
379	3292432474513.804
380	3369787749109.2305
381	3732053025072.1445
382	3711408140885.043
383	3452259692411.781
384	3373902695373.7847
385	3256215229899.7217
386	3485379060463.739
387	3119418783669.602
388	3208293496563.433
389	3294749944328.693
390	3107787403228.6685
391	2628276795781.299
392	2601085507614.204
393	2574463279281.1025
394	2491641962697.927
395	2469107921958.675
396	2588582494101.8267
397	2311743601144.7515
398	2590094248274.3047
399	2599324432334.6577
400	2534971545382.274
401	2237525145667.6343
402	2181453737166.0388
403	2039430022838.5945
404	2503404070143.223
405	2059123177718.0967
406	2198741167696.892
407	2140911208761.1606
408	2148844093641.9717
409	1955252479566.039
410	1782357570702.2798
411	1946539221360.8308
412	1797542550369.9773
413	1843089936502.6926
414	1840051958266.6208
415	1672244172279.8809
416	1706942053389.6274
417	1640689180000.3638
418	1632320904223.6948
419	1720789995183.2551
420	1653305797234.4412
421	1578148589915.137
422	1498112618471.557
423	1580550316420.5725
424	1559809563501.0383
425	1493842862927.8293
426	1463837006314.2996
427	1436430023891.3706
428	1366988093121.1104
429	1445421817033.4565
430	1371295490255.8997
431	1368829237429.7449
432	1350665547481.3857
433	1380462871602.573
434	1308721093497.1753
435	1340393143778.0852
436	1365274599145.7688
437	1349091890438.8215
438	1377522921914.7856
439	1321272536205.695
440	1319638993424.1924
441	1215070028709.5088
442	1187997823160.8862
443	1208962823397.9773
